instruction,context,response,category
"Who were the children of the legendary Garth Greenhand, the High King of the First Men in the series A Song of Ice and Fire?",,"Garth the Gardener, John the Oak, Gilbert of the Vines, Brandon of the Bloody Blade, Foss the Archer, Owen Oakenshield, Harlon the Hunter, Herndon of the Horn, Bors the Breaker, Florys the Fox, Maris the Maid, Rose of the Red Lake, Ellyn Ever Sweet, Rowan Gold-Tree",open_qa
Give me a list of basic ingredients for baking cookies,,"To bake cookies you will need flour, sugar, eggs, milk, butter, baking powder, and if you want; you can add chocolate chips, cinnamon, walnuts, or macadamia nuts.  By combining the ingredients you will form a soft dough that you can scoop onto a baking sheet and bake in the oven until cooked thoroughly through.",brainstorming
Write a funny and whimsical horoscope reading,,"The stars say you should be patient, and that it can't last for ever.  They didn't say what they're talking about, though",creative_writing
Who was the first person to do spacewalk?,,"Alexei Leonov, a soviet cosmonaut was the first person to do spacewalk",open_qa
What causes an airplane wing to fly?,,"As Bernoulli's principal explains, because of the shape, air moving across the curved upper surface on top of the wing will travel faster and thus produce less pressure than the air moving more slowly along the flatter bottom of the wing's surface. This imbalance of high and low pressures results in a force called lift which is applied in the direction of the lower pressure.",open_qa
Could a nuclear explosion change the Earth's rotation?,,"Nuclear explosions release more energy than anything else that humans do. Luckily, the energy released by a nuclear blast is only about one trillionth of the power of the Earth spinning. Scientists compare it to trying to slow the speed of a truck by crashing it into a mosquito.",open_qa
"In music theory, what is the circle of fifths?",,"The circle of fifths is a way of organizing the 12 chromatic pitches as a sequence of perfect fifths. (This is strictly true in the standard 12-tone equal temperament system — using a different system requires one interval of diminished sixth to be treated as a fifth). If C is chosen as a starting point, the sequence is: C, G, D, A, E, B (=C♭), F♯ (=G♭), C♯ (=D♭), A♭, E♭, B♭, F. Continuing the pattern from F returns the sequence to its starting point of C. This order places the most closely related key signatures adjacent to one another. It is usually illustrated in the form of a circle.",general_qa
What should I do on a free afternoon in San Francisco?,,"You can visit and take photos at San Francisco's landmarks such as Pier 39 or Golden Gate Bridge. If you enjoy walking outdoors, there are several large parks in the city. You can visit Golden Gate Park and the various attractions and museums located in the park. The Presidio is also a popular park where you can get some of the best views of Golden Gate Bridge.",creative_writing
Extract the dates from the following.,"YouTube has been led by a CEO since its founding in 2005, and has retained this leadership model even after its acquisition by Google. The current CEO is Neal Mohan, who was appointed on February 16, 2023.","February 16, 2023",information_extraction
As per the passage whose works did Narendranath study?,"In 1871, at the age of eight, Narendranath enrolled at Ishwar Chandra Vidyasagar's Metropolitan Institution, where he went to school until his family moved to Raipur in 1877. In 1879, after his family's return to Calcutta, he was the only student to receive first-division marks in the Presidency College entrance examination.  He was an avid reader in a wide range of subjects, including philosophy, religion, history, social science, art and literature. He was also interested in Hindu scriptures, including the Vedas, the Upanishads, the Bhagavad Gita, the Ramayana, the Mahabharata and the Puranas. Narendra was trained in Indian classical music, and regularly participated in physical exercise, sports and organised activities. Narendra studied Western logic, Western philosophy and European history at the General Assembly's Institution (now known as the Scottish Church College). In 1881, he passed the Fine Arts examination, and completed a Bachelor of Arts degree in 1884. Narendra studied the works of David Hume, Immanuel Kant, Johann Gottlieb Fichte, Baruch Spinoza, Georg W. F. Hegel, Arthur Schopenhauer, Auguste Comte, John Stuart Mill and Charles Darwin. He became fascinated with the evolutionism of Herbert Spencer and corresponded with him, translating Herbert Spencer's book Education (1861) into Bengali. While studying Western philosophers, he also learned Sanskrit scriptures and Bengali literature.","David Hume, Immanuel Kant, Johann Gottlieb Fichte, Baruch Spinoza, Georg W. F. Hegel, Arthur Schopenhauer, Auguste Comte, John Stuart Mill and Charles Darwin.",information_extraction
