sample_1	sample_2	plagiarized	reason
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"/*  * To change this license header, choose License Headers in Project Properties.  * To change this template file, choose Tools | Templates  * and open the template in the editor.  */  /**  *  * @author CB6AB3315634A1E4D11B091BA48B60BA 7E51EEA5FA101ED4DADE9AD3A7A072BB 2F809B10D1ABEDBF2EC288F851B3EBBB  */ public class T01 {  public static void main(String[] args){   for(int i = 0; i < 5; i++){  System.out.println(""Welcome To Java"");  }   } }"	False	The two code samples, while producing similar output, employ distinctly different programming approaches - one using repetitive print statements and the other utilizing a more efficient for loop. This fundamental difference in implementation, along with variations in code structure and comments, suggests that these are independently written solutions to a common beginner programming task rather than instances of plagiarism.
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"/**  *  * @author 65FBEF05E01FAC390CB3FA073FB3E8CF (452BF208BF901322968557227B8F6EFE010)  */ public class T01 { public static void main(String[] args) { for (int i = 0; i < 5; i++) { System.out.println(""Welcome To Java""); } } }"	False	The code samples demonstrate different approaches to achieving the same simple task, with one using repetitive print statements and the other employing a more efficient loop structure. While the core functionality is identical, the implementation differences and the presence of unique elements like the author comment in the second sample suggest these are likely independent solutions to a common beginner programming exercise rather than a case of direct plagiarism.
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"/**  *  * @author CB6AB3315634A1E4D11B091BA48B60BA  */ public class Nomor1_2451041557A22145B3701B0184109CAB013 { /**  * @param args the command line arguments  */ public static void main(String[] args) { for(int i=0;i<5;i++) { System .out.println(""Welcome To Java""); } } }"	False	The two code samples produce the same output but utilize different programming approaches, with Sample 1 using repetitive print statements and Sample 2 employing a more efficient loop structure. While the core idea is similar, the implementation details, coding style, and level of programming sophistication differ significantly between the two samples, suggesting independent development rather than plagiarism.
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"* * To change this license header, choose License Headers in Project Properties. * To change this template file, choose Tools | Templates * and open the template in the editor. */ /** * * @author 19984DCAEA13176BBB694F62BA6B5B35 */ public class L1 { public static void main(String[] args) {  System.out.println(""""Welcome to Java"""");  System.out.println(""""Welcome to Java"""");  System.out.println(""""Welcome to Java"""");  System.out.println(""""Welcome to Java"""");  System.out.println(""""Welcome to Java"""");  } }"	True	"The two code samples are nearly identical in their core functionality, with both containing the exact same main method that prints ""Welcome to Java"" five times using identical System.out.println statements. The only significant differences are the class names and the presence of auto-generated comments in the second sample, which are superficial changes that do not alter the underlying logic or purpose of the code, strongly indicating that one sample was copied from the other with minimal alterations. "
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"/*  * To change this license header, choose License Headers in Project Properties.  * To change this template file, choose Tools | Templates  * and open the template in the editor.  */ /**  *  * @author 19984DCAEA13176BBB694F62BA6B5B35  */ public class L2 {  public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"	True	The two code samples contain identical main methods with the exact same five print statements, which is highly unlikely to occur by chance. The only differences are superficial (class names, comments, and formatting), while the core functionality remains identical, strongly indicating that one code sample was copied from the other or both were copied from a common source.
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"public class L3 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  } }"	True	The code samples are identical except for the class names, exhibiting the same structure, content, and even the unusual repetition of print statements. Such a high degree of similarity, especially in a simple program that could be written in many different ways, is extremely unlikely to occur by chance and strongly indicates that one sample was copied from the other with only minimal alteration.
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"public class L4 {   public static void print() {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }   public static void main(String[] args) {   print();  } }"	True	The code samples show significant similarities in their output and inefficient approach of repeating the same print statement five times without using a loop, which raises suspicion of potential plagiarism. However, the differences in class structure and method implementation suggest that if copying occurred, it wasn't a direct copy-paste, and more context would be needed to conclusively determine plagiarism.
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"public class L5 {   public static void print() {   for (int i = 0; i < 5; i++) {  System.out.print(""Welcome to Java\n"");  }  }   public static void main(String[] args) {  print();  } }"	True	"The code samples exhibit plagiarism due to their identical output and core functionality, despite differences in implementation. The verbatim use of the specific phrase ""Welcome to Java"" in both samples, combined with the same overall goal and language, strongly suggests that one solution was derived from the other, even if attempts were made to disguise this through minor structural changes."
"public class T1 {  public static void main(String[] args) {  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  System.out.println(""Welcome to Java"");  }  }"	"public class L6 { public static void print() { for (int i = 5; i > 0; i--) {  System.out.print(""""Welcome to Java\n"""");  }  } public static void main(String[] args) {  print();  } }"	True	These code samples can be considered plagiarism because they produce identical, specific output and solve the same unusual task, with the second sample appearing to be an attempt to disguise copied code through minimal modifications. Despite superficial differences in implementation (using a loop and separate method in Sample 2), the core functionality and purpose remain the same, indicating a lack of originality that would likely be considered plagiarism in academic or professional contexts.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.Scanner;  /*  * To change this license header, choose License Headers in Project Properties.  * To change this template file, choose Tools | Templates  * and open the template in the editor.  */  /**  *  * @author CB6AB3315634A1E4D11B091BA48B60BA 7E51EEA5FA101ED4DADE9AD3A7A072BB 2F809B10D1ABEDBF2EC288F851B3EBBB  */ public class T02 {  public static void main(String[] args){   Scanner sc = new Scanner(System.in);   System.out.print(""Enter the radius and length of a cylinder: "");  double radius = sc.nextDouble();  double length = sc.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + (float)area);  System.out.printf(""The volume is %.1f"", volume);  System.out.println();   } }"	False	While the two programs are very similar in structure and functionality, they appear to be standard solutions to a common programming exercise for calculating cylinder measurements, which explains their resemblance without necessarily indicating plagiarism. Small differences in implementation details, variable naming, and output formatting suggest these could be independent solutions to the same problem rather than direct copies.
